date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
20:17:48	0/0	---M--	307	error ('Temporary%20Redirect')	text/html	date:Thu,%2006%20Jul%202023%2001:17:49%20GMT	https://quedijo.nl/qdijo?hsLang=en	C:/My%20Web%20Sites/qq/quedijo.nl/qdijoc6eb	(from https://quedijo.nl/qdijo)
20:17:48	0/0	---M--	307	error ('Temporary%20Redirect')	text/html	date:Thu,%2006%20Jul%202023%2001:17:49%20GMT	https://quedijo.nl/qdijo?hsLang=en	C:/My%20Web%20Sites/qq/quedijo.nl/qdijoc6eb	(from https://quedijo.nl/qdijo)
20:17:49	20383/20383	---M--	200	added ('OK')	image/png	date:Sat,%2001%20Jul%202023%2004:02:02%20GMT	https://quedijo.nl/hs-fs/hubfs/QUEDIJO.png?width=240&height=531&name=QUEDIJO.png	C:/My%20Web%20Sites/qq/quedijo.nl/hs-fs/hubfs/QUEDIJO4705.png	(from https://quedijo.nl/qdijo)
20:17:49	1398/1398	---M--	200	added ('OK')	image/png	etag:%22a7785a59588db2317c7c585af61ce59d%22	https://quedijo.nl/hubfs/raw_assets/public/@marketplace/TransFunnel_Consulting/Product_Launch_Easy_Free_DIY/images/page_images/features-icon.png	C:/My%20Web%20Sites/qq/quedijo.nl/hubfs/raw_assets/public/@marketplace/TransFunnel_Consulting/Product_Launch_Easy_Free_DIY/images/page_images/features-icon.png	(from https://quedijo.nl/qdijo)
20:17:50	40756/40756	---M--	200	added ('OK')	image/png	date:Sat,%2001%20Jul%202023%2003:35:31%20GMT	https://quedijo.nl/hs-fs/hubfs/raw_assets/public/@marketplace/TransFunnel_Consulting/Product_Launch_Easy_Free_DIY/images/page_images/w_5-min.png?width=475&height=475&name=w_5-min.png	C:/My%20Web%20Sites/qq/quedijo.nl/hs-fs/hubfs/raw_assets/public/@marketplace/TransFunnel_Consulting/Product_Launch_Easy_Free_DIY/images/page_images/w_5-min1318.png	(from https://quedijo.nl/qdijo)
20:17:51	213733/213733	---M--	200	added ('OK')	image/png	date:Sat,%2001%20Jul%202023%2003:35:31%20GMT	https://quedijo.nl/hs-fs/hubfs/raw_assets/public/@marketplace/TransFunnel_Consulting/Product_Launch_Easy_Free_DIY/images/page_images/w_5.png?width=475&height=475&name=w_5.png	C:/My%20Web%20Sites/qq/quedijo.nl/hs-fs/hubfs/raw_assets/public/@marketplace/TransFunnel_Consulting/Product_Launch_Easy_Free_DIY/images/page_images/w_5cec6.png	(from https://quedijo.nl/qdijo)
20:17:51	38138/38138	---M--	200	added ('OK')	image/png	date:Sat,%2001%20Jul%202023%2003:35:31%20GMT	https://quedijo.nl/hs-fs/hubfs/raw_assets/public/@marketplace/TransFunnel_Consulting/Product_Launch_Easy_Free_DIY/images/page_images/cta-img-min.png?width=475&height=475&name=cta-img-min.png	C:/My%20Web%20Sites/qq/quedijo.nl/hs-fs/hubfs/raw_assets/public/@marketplace/TransFunnel_Consulting/Product_Launch_Easy_Free_DIY/images/page_images/cta-img-min2ffa.png	(from https://quedijo.nl/qdijo)
20:17:51	0/0	---M--	307	error ('Temporary%20Redirect')	text/html	date:Thu,%2006%20Jul%202023%2001:17:52%20GMT	https://quedijo.nl/qdijo?hsLang=en	C:/My%20Web%20Sites/qq/quedijo.nl/qdijoc6eb	(from https://quedijo.nl/qdijo)
20:17:52	15197/15197	---M--	200	added ('OK')	image/png	etag:%220b7f94d0158834494da95c9feea23a2f%22	https://quedijo.nl/hubfs/raw_assets/public/@marketplace/TransFunnel_Consulting/Product_Launch_Easy_Free_DIY/images/page_images/interface-min.png	C:/My%20Web%20Sites/qq/quedijo.nl/hubfs/raw_assets/public/@marketplace/TransFunnel_Consulting/Product_Launch_Easy_Free_DIY/images/page_images/interface-min.png	(from https://quedijo.nl/qdijo)
20:17:52	15382/15382	---M--	200	added ('OK')	image/png	date:Sat,%2001%20Jul%202023%2003:35:31%20GMT	https://quedijo.nl/hs-fs/hubfs/raw_assets/public/@marketplace/TransFunnel_Consulting/Product_Launch_Easy_Free_DIY/images/page_images/OS971A1-min.png?width=1000&height=1000&name=OS971A1-min.png	C:/My%20Web%20Sites/qq/quedijo.nl/hs-fs/hubfs/raw_assets/public/@marketplace/TransFunnel_Consulting/Product_Launch_Easy_Free_DIY/images/page_images/OS971A1-mina13e.png	(from https://quedijo.nl/qdijo)
20:17:52	0/0	---M--	307	error ('Temporary%20Redirect')	text/html	date:Thu,%2006%20Jul%202023%2001:17:53%20GMT	https://quedijo.nl/qdijo?hsLang=en	C:/My%20Web%20Sites/qq/quedijo.nl/qdijoc6eb	(from https://quedijo.nl/qdijo)
20:18:35	39849/39849	---M--	200	added ('OK')	image/png	etag:%22d994b74f2f1e2e606f2d65ddbe36c7d9%22	https://quedijo.nl/hubfs/raw_assets/public/@marketplace/TransFunnel_Consulting/Product_Launch_Easy_Free_DIY/images/page_images/team1.png	C:/My%20Web%20Sites/qq/quedijo.nl/hubfs/raw_assets/public/@marketplace/TransFunnel_Consulting/Product_Launch_Easy_Free_DIY/images/page_images/team1.png	(from https://quedijo.nl/qdijo)
20:18:35	45349/45349	---M--	200	added ('OK')	image/png	etag:%228b10acc1f830914ce4a7554bc7084d80%22	https://quedijo.nl/hubfs/raw_assets/public/@marketplace/TransFunnel_Consulting/Product_Launch_Easy_Free_DIY/images/page_images/team2.png	C:/My%20Web%20Sites/qq/quedijo.nl/hubfs/raw_assets/public/@marketplace/TransFunnel_Consulting/Product_Launch_Easy_Free_DIY/images/page_images/team2.png	(from https://quedijo.nl/qdijo)
20:18:35	38338/38338	---M--	200	added ('OK')	image/png	etag:%224572c4073a7e871863194a5a37d79d7d%22	https://quedijo.nl/hubfs/raw_assets/public/@marketplace/TransFunnel_Consulting/Product_Launch_Easy_Free_DIY/images/page_images/team3.png	C:/My%20Web%20Sites/qq/quedijo.nl/hubfs/raw_assets/public/@marketplace/TransFunnel_Consulting/Product_Launch_Easy_Free_DIY/images/page_images/team3.png	(from https://quedijo.nl/qdijo)
20:18:36	75548/75548	---M--	200	added ('OK')	image/png	date:Sat,%2001%20Jul%202023%2003:35:31%20GMT	https://quedijo.nl/hs-fs/hubfs/raw_assets/public/@marketplace/TransFunnel_Consulting/Product_Launch_Easy_Free_DIY/images/page_images/video-bg-min.png?width=1000&height=1000&name=video-bg-min.png	C:/My%20Web%20Sites/qq/quedijo.nl/hs-fs/hubfs/raw_assets/public/@marketplace/TransFunnel_Consulting/Product_Launch_Easy_Free_DIY/images/page_images/video-bg-min6ced.png	(from https://quedijo.nl/qdijo)
20:18:36	0/0	---M--	307	error ('Temporary%20Redirect')	text/html	date:Thu,%2006%20Jul%202023%2001:18:37%20GMT	https://quedijo.nl/qdijo?hsLang=en	C:/My%20Web%20Sites/qq/quedijo.nl/qdijoc6eb	(from https://quedijo.nl/qdijo)
20:18:36	13264/13264	---M--	200	added ('OK')	image/png	etag:%229930c9e54a3532333e46e49af443ca75%22	https://quedijo.nl/hubfs/raw_assets/public/@marketplace/TransFunnel_Consulting/Product_Launch_Easy_Free_DIY/images/page_images/portrait.png	C:/My%20Web%20Sites/qq/quedijo.nl/hubfs/raw_assets/public/@marketplace/TransFunnel_Consulting/Product_Launch_Easy_Free_DIY/images/page_images/portrait.png	(from https://quedijo.nl/qdijo)
20:18:36	0/0	---M--	307	error ('Temporary%20Redirect')	text/html	date:Thu,%2006%20Jul%202023%2001:18:37%20GMT	https://quedijo.nl/qdijo?referrer=CMS_MODULE_NEWTAB&hsLang=en	C:/My%20Web%20Sites/qq/quedijo.nl/qdijoba2d	(from https://quedijo.nl/qdijo)
20:18:44	205124/205124	---MCZ	200	added ('OK')	text/html	etag:W/%22af920af5082d37ae3410f0bf37cc0f99%22	https://quedijo.nl/qdijo?referrer=CMS_MODULE_NEWTAB	C:/My%20Web%20Sites/qq/quedijo.nl/qdijof7c3.html	(from https://quedijo.nl/qdijo)
20:18:44	219901/219901	---MCZ	200	added ('OK')	application/javascript	etag:W/%22f3b3bcda4da7f051caeca57d86f0de11%22	https://quedijo.nl/hs/hsstatic/cms-free-branding-lib/static-1.267/js/index.js	C:/My%20Web%20Sites/qq/quedijo.nl/hs/hsstatic/cms-free-branding-lib/static-1.267/js/index.js	(from https://quedijo.nl/qdijo)
20:18:45	11166/11166	---MCZ	200	added ('OK')	application/javascript	etag:W/%22bf8f264c31eb93db41268dd04256be85%22	https://static.hsappstatic.net/content-cwv-embed/static-1.240/embed.js	C:/My%20Web%20Sites/qq/static.hsappstatic.net/content-cwv-embed/static-1.240/embed.js	(from https://quedijo.nl/qdijo)
20:18:45	15246/15246	---MCZ	200	added ('OK')	application/javascript	etag:W/%22b30b2115780a7fc6a60819666447bdf3%22	https://quedijo.nl/hs-fs/hub/40127748/hub_generated/template_assets/123052758033/1688182535145/marketplace/TransFunnel_Consulting/Product_Launch_Easy_Free_DIY/js/additional/slick.min.js	C:/My%20Web%20Sites/qq/quedijo.nl/hs-fs/hub/40127748/hub_generated/template_assets/123052758033/1688182535145/marketplace/TransFunnel_Consulting/Product_Launch_Easy_Free_DIY/js/additional/slick.min.js	(from https://quedijo.nl/qdijo)
20:18:45	42913/42913	---MCZ	200	added ('OK')	application/javascript	etag:W/%22bc37eb779106bb61e432cad22203c03a%22	https://quedijo.nl/hs-fs/hub/40127748/hub_generated/template_assets/123051985539/1688182534887/marketplace/TransFunnel_Consulting/Product_Launch_Easy_Free_DIY/js/additional/slick-min.min.js	C:/My%20Web%20Sites/qq/quedijo.nl/hs-fs/hub/40127748/hub_generated/template_assets/123051985539/1688182534887/marketplace/TransFunnel_Consulting/Product_Launch_Easy_Free_DIY/js/additional/slick-min.min.js	(from https://quedijo.nl/qdijo)
20:18:45	2442/2442	---MCZ	200	added ('OK')	application/javascript	etag:W/%220661e56dacf2f6d2d83a5451c5bafed4%22	https://quedijo.nl/hs-fs/hub/40127748/hub_generated/template_assets/123051985545/1688182533877/marketplace/TransFunnel_Consulting/Product_Launch_Easy_Free_DIY/js/main.min.js	C:/My%20Web%20Sites/qq/quedijo.nl/hs-fs/hub/40127748/hub_generated/template_assets/123051985545/1688182533877/marketplace/TransFunnel_Consulting/Product_Launch_Easy_Free_DIY/js/main.min.js	(from https://quedijo.nl/qdijo)
20:18:45	1243/1243	---MCZ	200	added ('OK')	application/javascript	etag:W/%2261ca66de658cab9587e4636894680d5d%22	https://quedijo.nl/hs/hsstatic/cos-i18n/static-1.53/bundles/project.js	C:/My%20Web%20Sites/qq/quedijo.nl/hs/hsstatic/cos-i18n/static-1.53/bundles/project.js	(from https://quedijo.nl/qdijo)
